code,n,k,d,ep0,p0
GB_48_6,48,6,8,0.1625,0.1
IS_64_8,64,8,8,0.3,0.16
BIC_64_12,64,12,6,0.05,0.07
QD_64_12,64,12,8,0.2375,0.18
BIC_64_18,64,18,2,0.0375,0.15
QD_64_18,64,18,8,0.2625,0.15
HP_65_9,65,9,4,0.05,0.11
BB_72_12,72,12,6,0.1,0.11
BB_108_8,108,8,10,0.15,0.16
HP_125_25,125,25,4,0.05,0.14
GB_126_28,126,28,8,0.2125,0.14
BIC_128_24,128,24,4,0.0375,0.06
IS_128_24,128,24,8,0.275,0.19
QD_128_24,128,24,8,0.2625,0.19
BIC_128_36,128,36,4,0.025,0.11
QD_128_36,128,36,8,0.175,0.14
QC_136_38,136,38,6,0.025,0.06
BB_144_12,144,12,12,0.025,0.1
